name,amounts
WV,146.86501735826772
KY,132.11770195065696
WY,131.73761650200723
MO,127.17659111821008
IN,121.62734356792357
UT,113.7975833257385
HI,104.0673958403046
ND,102.62307113543552
OH,90.84042222729292
NE,89.47211461215377
CO,89.39609752242382
WI,89.09202916350401
MT,80.80616638293922
NM,80.80616638293922
AR,79.51387585753004
AK,76.8532777169817
MI,76.16912390941214
DE,73.73657703805367
KS,66.5149535137082
TX,64.38647500126955
LA,64.31045791153959
FL,63.854355373159876
RI,63.0181673861304
MS,62.48604775802073
IA,58.76121036125308
MN,58.30510782287336
MA,57.54493692557384
GA,55.79654386178494
OK,54.88433878502551
AL,54.7323046055656
PA,54.352219156915844
NV,53.51603116988637
MD,51.23551847798781
AZ,51.08348429852791
IL,50.931450119067996
NC,50.399330490958334
TN,49.94322795257862
VA,45.610253837971335
SC,40.28905755687469
CT,39.45286956984521
NJ,35.19591254496788
NY,34.35972455793841
CA,29.722682084411325
SD,21.664870573036385
OR,21.436819303846526
NH,21.132750944926723
ME,19.840460419517534
ID,18.09206735572863
WA,15.127400856260495
VT,0.07601708972995223